Window		->CMagicWnd			:CWnd(V)
Button		->CMagicButton		:CButton(V)
CheckBox	->CMagicCheck		:CButton(V)
RadioBox	->CMagicRadio		:CButton(V)
ComboBox	->CMagicCombo		:CComboBox(V)
ListBox		->CMagicList		:CListBox
EditBox		->CMagicEdit		:CEdit(V)
GroupBox	->CMagicGroup		:CStatic(V)
Picture		->CMagicPicture		:CStatic(V)
Text		->CMagicText		:CStatic(V)
ScrollBar	->CMagicScroll		:CScrollBar
Spin		->CMagicSpin		:CSpinButtonCtrl
Progress	->CMagicProgress	:CProgressCtrl
Slider		->CMagicSlider		:CSliderCtrl
ListCtrl	->CMagicListCtrl	:CListCtrl
TreeCtrl	->CMagicTreeCtrl	:CTreeCtrl
TabCtrl		->CMagicTabCtrl		:CTabCtrl
Menu		->CMagicMenu		:CMenu
ToolBar		->CMagicToolBar		:CToolBar
StatusBar	->CMagicStatusBar	:CStatusBar
